行,大学名,よみ,区分
あ行,愛知大学,あいちだいがく,国立
あ行,愛知県立大学,あいちけんりつだいがく,公立
あ行,愛知学院大学,あいちがくいんだいがく,私立
あ行,会津大学,あいづだいがく,公立
あ行,青山学院大学,あおやまがくいんだいがく,私立
あ行,秋田大学,あきただいがく,国立
あ行,秋田県立大学,あきたけんりつだいがく,公立
あ行,亜細亜大学,あじあだいがく,私立
あ行,茨城大学,いばらきだいがく,国立
あ行,岩手大学,いわてだいがく,国立
あ行,石巻専修大学,いしのまきせんしゅうだいがく,私立
あ行,宇都宮大学,うつのみやだいがく,国立
あ行,愛媛大学,えひめだいがく,国立
あ行,江戸川大学,えどがわだいがく,私立
あ行,大阪大学,おおさかだいがく,国立
あ行,大阪公立大学,おおさかこうりつだいがく,公立
あ行,大阪教育大学,おおさかきょういくだいがく,国立
あ行,大阪工業大学,おおさかこうぎょうだいがく,私立
あ行,大阪経済大学,おおさかけいざいだいがく,私立
あ行,大手前大学,おおてまえだいがく,私立
あ行,岡山大学,おかやまだいがく,国立
あ行,岡山県立大学,おかやまけんりつだいがく,公立
あ行,お茶の水女子大学,おちゃのみずじょしだいがく,国立
あ行,桜美林大学,おうびりんだいがく,私立
あ行,小樽商科大学,おたるしょうかだいがく,国立
あ行,沖縄国際大学,おきなわこくさいだいがく,私立
か行,香川大学,かがわだいがく,国立
か行,鹿児島大学,かごしまだいがく,国立
か行,神奈川大学,かながわだいがく,私立
か行,金沢大学,かなざわだいがく,国立
か行,学習院大学,がくしゅういんだいがく,私立
か行,関西大学,かんさいだいがく,私立
か行,関西学院大学,かんせいがくいんだいがく,私立
か行,関西外国語大学,かんさいがいこくごだいがく,私立
か行,神田外語大学,かんだがいごだいがく,私立
か行,岐阜大学,ぎふだいがく,国立
か行,京都大学,きょうとだいがく,国立
か行,京都工芸繊維大学,きょうとこうげいせんいだいがく,国立
か行,京都府立大学,きょうとふりつだいがく,公立
か行,京都産業大学,きょうとさんぎょうだいがく,私立
か行,京都女子大学,きょうとじょしだいがく,私立
か行,九州大学,きゅうしゅうだいがく,国立
か行,九州工業大学,きゅうしゅうこうぎょうだいがく,国立
か行,北九州市立大学,きたきゅうしゅうしりつだいがく,公立
か行,近畿大学,きんきだいがく,私立
か行,杏林大学,きょうりんだいがく,私立
か行,熊本大学,くまもとだいがく,国立
か行,久留米大学,くるめだいがく,私立
か行,釧路公立大学,くしろこうりつだいがく,公立
か行,群馬大学,ぐんまだいがく,国立
か行,慶應義塾大学,けいおうぎじゅくだいがく,私立
か行,神戸大学,こうべだいがく,国立
か行,神戸市外国語大学,こうべしがいこくごだいがく,公立
か行,甲南大学,こうなんだいがく,私立
か行,工学院大学,こうがくいんだいがく,私立
か行,高知大学,こうちだいがく,国立
か行,國學院大學,こくがくいんだいがく,私立
か行,国際基督教大学,こくさいきりすときょうだいがく,私立
か行,駒澤大学,こまざわだいがく,私立
さ行,埼玉大学,さいたまだいがく,国立
さ行,埼玉県立大学,さいたまけんりつだいがく,公立
さ行,佐賀大学,さがだいがく,国立
さ行,札幌大学,さっぽろだいがく,私立
さ行,産業能率大学,さんぎょうのうりつだいがく,私立
さ行,滋賀大学,しがだいがく,国立
さ行,滋賀県立大学,しがけんりつだいがく,公立
さ行,静岡大学,しずおかだいがく,国立
さ行,静岡県立大学,しずおかけんりつだいがく,公立
さ行,島根大学,しまねだいがく,国立
さ行,芝浦工業大学,しばうらこうぎょうだいがく,私立
さ行,城西大学,じょうさいだいがく,私立
さ行,順天堂大学,じゅんてんどうだいがく,私立
さ行,実践女子大学,じっせんじょしだいがく,私立
さ行,淑徳大学,しゅくとくだいがく,私立
さ行,駿河台大学,するがだいだいがく,私立
さ行,成蹊大学,せいけいだいがく,私立
さ行,成城大学,せいじょうだいがく,私立
さ行,西南学院大学,せいなんがくいんだいがく,私立
さ行,摂南大学,せつなんだいがく,私立
さ行,専修大学,せんしゅうだいがく,私立
さ行,聖心女子大学,せいしんじょしだいがく,私立
さ行,清泉女子大学,せいせんじょしだいがく,私立
さ行,創価大学,そうかだいがく,私立
さ行,崇城大学,そうじょうだいがく,私立
た行,大東文化大学,だいとうぶんかだいがく,私立
た行,高崎経済大学,たかさきけいざいだいがく,公立
た行,拓殖大学,たくしょくだいがく,私立
た行,玉川大学,たまがわだいがく,私立
た行,多摩美術大学,たまびじゅつだいがく,私立
た行,千葉大学,ちばだいがく,国立
た行,千葉県立保健医療大学,ちばけんりつほけんいりょうだいがく,公立
た行,千葉工業大学,ちばこうぎょうだいがく,私立
た行,千葉商科大学,ちばしょうかだいがく,私立
た行,中央大学,ちゅうおうだいがく,私立
た行,中京大学,ちゅうきょうだいがく,私立
た行,中部大学,ちゅうぶだいがく,私立
た行,筑波大学,つくばだいがく,国立
た行,都留文科大学,つるぶんかだいがく,公立
た行,津田塾大学,つだじゅくだいがく,私立
た行,帝京大学,ていきょうだいがく,私立
た行,電気通信大学,でんきつうしんだいがく,国立
た行,天理大学,てんりだいがく,私立
た行,東京大学,とうきょうだいがく,国立
た行,東京科学大学,とうきょうかがくだいがく,国立
た行,東京外国語大学,とうきょうがいこくごだいがく,国立
た行,東京学芸大学,とうきょうがくげいだいがく,国立
た行,東京農工大学,とうきょうのうこうだいがく,国立
た行,東京海洋大学,とうきょうかいようだいがく,国立
た行,東京都立大学,とうきょうとりつだいがく,公立
た行,東京理科大学,とうきょうりかだいがく,私立
た行,東京電機大学,とうきょうでんきだいがく,私立
た行,東京経済大学,とうきょうけいざいだいがく,私立
た行,東京都市大学,とうきょうとしだいがく,私立
た行,東京女子大学,とうきょうじょしだいがく,私立
た行,東京家政大学,とうきょうかせいだいがく,私立
た行,東北大学,とうほくだいがく,国立
た行,東海大学,とうかいだいがく,私立
た行,東洋大学,とうようだいがく,私立
た行,同志社大学,どうししゃだいがく,私立
た行,同志社女子大学,どうししゃじょしだいがく,私立
た行,徳島大学,とくしまだいがく,国立
た行,獨協大学,どっきょうだいがく,私立
た行,富山大学,とやまだいがく,国立
た行,鳥取大学,とっとりだいがく,国立
た行,豊橋技術科学大学,とよはしぎじゅつかがくだいがく,国立
な行,長崎大学,ながさきだいがく,国立
な行,名古屋大学,なごやだいがく,国立
な行,名古屋工業大学,なごやこうぎょうだいがく,国立
な行,名古屋市立大学,なごやしりつだいがく,公立
な行,名古屋外国語大学,なごやがいこくごだいがく,私立
な行,奈良女子大学,ならじょしだいがく,国立
な行,奈良県立医科大学,ならけんりついかだいがく,公立
な行,南山大学,なんざんだいがく,私立
な行,新潟大学,にいがただいがく,国立
な行,新潟県立大学,にいがたけんりつだいがく,公立
