No,店舗名,業種,地域（区・市）,電話番号,公式URL/LINE URL,Instagram,エキテンURL,スクリーニング結果,除外理由・備考
1,Mii Nail,ネイルサロン,渋谷区,非掲載,https://www.ekiten.jp/shop_代々木2-21-3/,非掲載,https://www.ekiten.jp/g0209/a13113/,○,早朝営業・日祝OK・女性歓迎。個人サロン色強め。アポ取りやすい。
2,giraffeTOKYO(ジラフ トーキョー) 代官山店,ネイルサロン,渋谷区,非掲載,店舗公式あり,非掲載,https://www.ekiten.jp/g0209/a13113/,○,代官山エリア・日祝OK・クレカ可。おしゃれ系ネイルサロン。
3,ネイルサロンLunaroma,ネイルサロン,渋谷区,非掲載,店舗公式あり,非掲載,https://www.ekiten.jp/g0209/a13113/,○,神宮前・22:00まで営業・日祝OK。女性オーナー系。
4,han nail 恵比寿,ネイルサロン,渋谷区,非掲載,店舗公式あり,非掲載,https://www.ekiten.jp/g0209/a13113/,○,恵比寿エリア・クーポン有。個人経営サロン。
5,Atelier Sarugaku Nail,ネイルサロン,渋谷区,非掲載,店舗公式あり（LINE Pay対応）,非掲載,https://www.ekiten.jp/g0209/a13113/,○,猿楽町・LINE Pay対応=LINE活用可能性高。
6,ネイルサロンログ,ネイルサロン,渋谷区,非掲載,店舗公式あり（LINE Pay対応）,非掲載,https://www.ekiten.jp/g0209/a13113/,○,恵比寿西・口コミ高評価3.83・クーポン有。
7,ミエルヘアー 渋谷店(miel hair),美容室・ヘアサロン,渋谷区,03-6805-1185,店舗公式あり,非掲載,https://www.ekiten.jp/shop_96619859/,○,渋谷駅2分・年中無休・23:00まで営業。女性客多め。
8,ORO,美容室・ヘアサロン,渋谷区,03-3770-9409,店舗公式あり,非掲載,https://www.ekiten.jp/shop_77482/,○,恵比寿西・代官山エリア・日祝OK・クーポン有。独立系。
9,キミドリ(KIMIDORI),美容室・ヘアサロン,渋谷区,03-5422-8355,店舗公式あり,非掲載,https://www.ekiten.jp/shop_3080096/,○,恵比寿・オーガニック系ヘアサロン・日祝OK・カード可。
10,ソフィーヘアケア(Sophie HairCare),美容室・ヘアサロン,渋谷区,03-3402-3990,店舗公式あり,非掲載,https://www.ekiten.jp/shop_76212/,○,千駄ヶ谷・北参道エリア・特殊ケア（抜毛症対応）系。女性客メイン。
11,エステサロンK,エステ,渋谷区,070-6947-9792,非掲載,非掲載,https://www.ekiten.jp/shop_6992053/,○,代々木八幡エリア・個人エステ。070番号=個人経営。アポ取りやすい。
12,iseaz代々木上原店,エステ・マッサージ,渋谷区,080-3248-5656,店舗公式あり（カード・QR決済可）,非掲載,https://www.ekiten.jp/shop_82982341/,○,代々木上原・完全プライベートサロン・10:00〜23:00・LINE Pay対応。
13,エステティックサロン シーズ・ラボ表参道,エステ・マッサージ,渋谷区,03-5772-4200,店舗公式あり（公式ホームページ掲載）,非掲載,https://www.ekiten.jp/shop_75624/,△,チェーン店（27店舗）。代理店向けより個人・小規模優先。
14,アイレローズ・エンビロン・フェイスエステ,フェイシャルエステ,世田谷区,非掲載,非掲載,非掲載,https://www.ekiten.jp/shop_56905819/,△,電話番号・URL未掲載。連絡先要確認。
15,リラク屋エステ,エステ・マッサージ・整体,世田谷区,03-6413-0686,店舗公式あり,非掲載,https://www.ekiten.jp/shop_94119927/,○,千歳船橋駅徒歩2分・24:00まで営業・クーポン有・カード可。
16,下北沢ヨガスタジオ ima.,ヨガ・スタジオ,世田谷区,非掲載,店舗公式あり,非掲載,https://www.ekiten.jp/shop_33440100/,○,下北沢徒歩3分・少人数制・マタニティヨガ等多彩クラス。女性中心客層。
17,Yoga-flame,ヨガ教室,世田谷区,非掲載,非掲載,非掲載,https://www.ekiten.jp/shop_2922973/,△,電話番号・URL未掲載。連絡先要確認。代田橋エリア。
18,NEMO教室,料理教室,世田谷区,070-5055-6424,店舗公式あり,非掲載,https://www.ekiten.jp/shop_15805481/,○,八幡山エリア・和食中心・小規模料理教室。070番号=個人経営。
19,おへそカフェ,カフェ・喫茶店,世田谷区,03-6909-1187,店舗公式あり,非掲載,https://www.ekiten.jp/shop_11862585/,○,千歳烏山駅徒歩2分・アーユルヴェーダ料理・2FはマッサージSP。個人経営。
20,ネイルサロンブランネージュ,ネイルサロン,新宿区,非掲載,店舗公式あり,非掲載,https://www.ekiten.jp/g0209/a13104/,○,若宮町・22:00まで営業・日祝OK・クレカ可。個人運営感あり。
21,ネイルサロンBloomin(ブルーミン),ネイルサロン,新宿区,非掲載,店舗公式あり（クーポン有）,非掲載,https://www.ekiten.jp/g0209/a13104/,○,富久町・クーポン有。口コミ3件あり。比較的長期営業中。
22,NailroomViel,ネイルサロン,新宿区,非掲載,店舗公式あり（クーポン有）,非掲載,https://www.ekiten.jp/g0209/a13104/,○,新宿4丁目・13:00〜22:00営業・クーポン有。夜型ネイルサロン。
23,kikisネイル新宿店,ネイルサロン,新宿区,非掲載,店舗公式あり（クーポン有・クレカ可）,非掲載,https://www.ekiten.jp/g0209/a13104/,○,新宿3丁目・評価3.52・写真5件・クーポン有。
24,こころ整骨院中井院,整体・整骨院,新宿区,非掲載,店舗公式あり（クーポン有・ネット予約可）,非掲載,https://www.ekiten.jp/g0208/a13104/,△,評価4.69と高いが多院展開チェーン。個人院ではない。
25,あけぼのばし整骨院,整体・整骨院,新宿区,非掲載,店舗公式あり（クーポン有・クレカ可）,非掲載,https://www.ekiten.jp/g0208/a13104/,○,住吉町・評価4.85・個人院風。骨盤矯正専門。女性客多め。
26,アロマテラピーサロン LOTUS FLOWER,マッサージ・アロマ,新宿区,非掲載,店舗公式あり（クーポン有・ネット予約可）,非掲載,https://www.ekiten.jp/g0204/a13104/,○,歌舞伎町2丁目・23:00まで営業・クーポン2件。個人サロン。
27,ネイル Aromaru,ネイルサロン,豊島区,非掲載,店舗公式あり（LINE Pay対応）,非掲載,https://www.ekiten.jp/g0209/a13116/,○,巣鴨・LINE Pay対応=LINE活用可能性高。10:00〜21:00。
28,nail salon SY Cherry,ネイルサロン,豊島区,非掲載,店舗公式あり,非掲載,https://www.ekiten.jp/g0209/a13116/,○,南長崎・個人ネイルサロン。2F運営。
29,美ノ庵ネイルサロン,ネイルサロン,豊島区,非掲載,店舗公式あり（LINE Pay対応）,非掲載,https://www.ekiten.jp/g0209/a13116/,○,西池袋・22:00まで営業・LINE Pay対応・価格帯明記。
30,DOLLY NAIL(巣鴨ネイルサロン）,ネイルサロン,豊島区,非掲載,店舗公式あり,非掲載,https://www.ekiten.jp/g0209/a13116/,○,巣鴨エリア・日祝OK・口コミ有。個人サロン。
