No,店舗名,業種,地域,Instagramアカウント（@）,Instagram URL,フォロワー数（概算）,最終投稿時期,備考
1,TOTAL BODY CARE SALON SHOTO,整体・ボディケア,東京都渋谷区松濤,@totalbody.shoto,https://www.instagram.com/totalbody.shoto/,1000〜3000,2023年以降,アロママッサージ・腸もみ・ストレッチ。個人オーナーサロン。渋谷駅徒歩圏。
2,OHISAMA（大人のプライベートサロン）,美容室,東京都世田谷区経堂,@ohisama_kyodo,https://www.instagram.com/ohisama_kyodo/,500〜2000,確認中,個人オーナー高橋忍。完全プライベート空間。経堂駅近。
3,Allora（アローラ）,美容室,東京都世田谷区三軒茶屋,@allora_hair,https://www.instagram.com/allora_hair/,1000〜3000,確認中,デザインカラー専門。三軒茶屋駅近。
4,ゆうさん（渋谷レイヤーカット美容師）,美容室,東京都渋谷区,@votan_yu,https://www.instagram.com/votan_yu/,5000〜20000,2024年以降,渋谷の韓国ヘア・レイヤーカット専門個人美容師。DMで予約受付。
5,ONYX（こうせい）,美容室,東京都渋谷区神宮前,@kousei_onyx,https://www.instagram.com/kousei_onyx/,3000〜10000,2023年以降,白髪ぼかしハイライト専門。個人オーナー。表参道駅徒歩3分。
6,石井佑果（ヨガインストラクター）,ヨガ教室,東京都渋谷区,@yuka.ishii.yoga,https://www.instagram.com/yuka.ishii.yoga/,500〜2000,確認中,RYT200資格。個人ヨガ講師。渋谷区内・出張対応。
7,小堀紀代美 料理教室（likelikekitchen）,料理教室,東京都世田谷区駒沢大学,@likelikekitchen,https://www.instagram.com/likelikekitchen/,10000〜50000,2023年以降,洋風料理教室。個人主宰。駒沢大学駅近。著名料理家。
8,chalnail（ちゃるネイル）,ネイルサロン,東京都渋谷区代々木,@chalnail,https://www.instagram.com/chalnail/,500〜2000,確認中,自宅サロン3年目。プライベートサロン。代々木駅徒歩8分。歴11年ネイリスト。
9,_honoka__nail（ほのかネイル）,ネイルサロン,東京都新宿区三丁目,@_honoka__nail,https://www.instagram.com/_honoka__nail/,100〜500,2025年以降,新宿三丁目徒歩3分。個人ネイリスト。DM予約受付。
10,Akira.nail.salon（アキラネイル）,ネイルサロン,東京都新宿区,@Akira.nail.salon,https://www.instagram.com/Akira.nail.salon/,500〜2000,確認中,新宿2丁目・新宿三丁目駅徒歩2分。長さだし専門。
11,井口有紗（ヨガ講師）,ヨガ教室,東京都世田谷区代田（下北沢）,@ari_0416,https://www.instagram.com/ari_0416/,500〜2000,確認中,ヨガ講師・アロマセラピスト。個人。下北沢エリア。オンライン対応。
12,ゆかちん☆ 渋谷ネイリスト,ネイルサロン,東京都渋谷区,@yukachiiiiin7,https://www.instagram.com/yukachiiiiin7/,1000〜5000,2024年以降,派手スカルプ・ロングネイル専門。渋谷在籍個人ネイリスト。
13,FUMI鍼灸院（石松）,整体・鍼灸,東京都新宿区大久保（東新宿）,@fumi_shinkyuin_shinjuku,https://www.instagram.com/fumi_shinkyuin_shinjuku/,500〜2000,確認中,東新宿駅徒歩5分。完全プライベート空間。個人院。院長石松。
14,NGYNAIL（ナノグレイネイル）,ネイルサロン,東京都新宿区百人町（新大久保）,@ngynail,https://www.instagram.com/ngynail/,500〜2000,確認中,新大久保駅徒歩4分。技術マニアのこだわり施術。女性専用プライベートサロン。
