No.,店舗名,業種,地域（市区）,公式LINEリンク（lin.ee / page.line.me）,InstagramリンクorURL,ランク,備考・コメント
1,てんびんカイロプラクティック整体院,カイロプラクティック,福岡市博多区,https://lin.ee/YiAQ4J0,,A,野間氏個人運営。LINE友だち459人。完全個室の小規模院。腰痛・骨盤専門。個人オーナー色が強く反応率高い。
2,筑紫通りはりきゅう整骨院,鍼灸院・整骨院,福岡市博多区,https://lin.ee/97KyY9Q,,A,2名体制の小規模院。竹下駅近く。LINE友だち282人。キャラが明確で反応期待。
3,KARADA整骨院,整骨院,福岡市博多区,https://page.line.me/jxh9455o,,A,LINE友だち979人。板付エリア。坐骨神経痛・産後骨盤矯正専門。地域密着の個人院。
4,ゼロスポ鍼灸・整骨院 吉塚,鍼灸院・整骨院,福岡市博多区,https://page.line.me/172eynpj,,A,LINE友だち1762人。吉塚駅前。骨格矯正・産後対応。SNS活用度高い。
5,介正整骨院 博多駅前,整骨院,福岡市博多区,https://page.line.me/sab7965q,,A,博多駅前エリア。LINE公式確認済み。
6,のりさだ鍼灸整骨院 吉塚院,鍼灸院・整骨院,福岡市博多区,,https://www.instagram.com/norisada_seikotsuin/,B,千代1丁目。Instagram運用中。グループ院だが小規模。
7,東比恵はりきゅう整骨院,鍼灸院・整骨院,福岡市博多区,,https://www.instagram.com/higashihie_harikyu/,B,博多区東比恵。スポーツ・往診対応。Instagram確認。
8,板付くろ川整骨院,整骨院,福岡市博多区,,https://www.instagram.com/kurokawa_itatsuke/,A,板付エリア。LINE予約確認済み。Instagram運用。2院展開の小グループ。
9,堺整骨院 大博通り院,整骨院,福岡市博多区,,https://www.instagram.com/sakai_seikotsuin_taihaku/,B,博多区御供所町。院長・大川雄介氏。Instagram活用。
10,こうたき整骨院,整骨院,福岡市博多区,,https://www.instagram.com/koutaki_seikotsu/,B,博多区・個人院。HP掲載。Instagram確認。
11,中央整骨鍼灸院,鍼灸院・整骨院,福岡市中央区,,https://www.instagram.com/chuo_seikotsu/,B,高砂1丁目。Instagram・Facebook活発。創業28年超の老舗。藍綬褒章院長。SNS活発度高め。
12,池田鍼灸療院,鍼灸院,福岡市中央区,,https://www.instagram.com/ikeda_shinkyu/,B,中央区平尾。先代から50年続く老舗鍼灸院。地域密着型。
13,天神ART整骨院・鍼灸院,鍼灸院・整骨院,福岡市中央区,,https://www.instagram.com/tenjin_art_seikotsu/,B,天神3丁目。SNS話題の美容鍼。Instagram運用。開業20年グループ。
14,箱嶌医針堂,鍼灸院,福岡市中央区,,https://www.instagram.com/hakoshima_shinkyu/,B,天神。中国医学博士院長。LINE予約可。Instagram運用中。
