No,店舗名,業種,地域,Instagramアカウント(@),Instagram URL,備考
1,月桃,リンパ・フェイシャルサロン,福岡市,@gettou_fukuoka,https://www.instagram.com/gettou_fukuoka/,完全個人運営・2026年2月まで活発
2,ルヴ,ネイルサロン,福岡市,@ruv_privatenailsalon,https://www.instagram.com/ruv_privatenailsalon/,1級ネイリスト個人オーナー
3,chalnail,ネイルサロン,東京都代々木,@chalnail,https://www.instagram.com/chalnail/,自宅サロン・歴11年個人ネイリスト
4,totalbody.shoto,整体サロン,東京都渋谷区,@totalbody.shoto,https://www.instagram.com/totalbody.shoto/,PR投稿多数・個人オーナーサロン
5,池崎鍼灸院,美容鍼灸,大阪市,@ikezaki_shinkyu,https://www.instagram.com/ikezaki_shinkyu/,フォロワー3万人超・個人経営
6,エリカローズネイル天神,ネイルサロン,福岡市天神,@ericarosenail,https://www.instagram.com/ericarosenail/,個人オーナー・天神エリア
7,ヴィヴィ,ネイルサロン,福岡市,@m.nail_0000,https://www.instagram.com/m.nail_0000/,スタッフ1名・完全個室
8,pipi nail salon,ネイルサロン,福岡市,@pipi00._.00,https://www.instagram.com/pipi00._.00/,プライベートサロン
9,8810,美容室,大阪市本町,@hayato_suzumura,https://www.instagram.com/hayato_suzumura/,1席のみ・個人オーナー
10,シャス SHAS.,美容室,大阪市,@akino.shinji_hair,https://www.instagram.com/akino.shinji_hair/,韓国ヘア専門・共同代表2名
11,pptemple,ネイルサロン,大阪市,@_pptemple_,https://www.instagram.com/_pptemple_/,アート特化・個人オーナー
12,森の整体院,整体,東京都,@morinokudou,https://www.instagram.com/morinokudou/,個人オーナー・開業22年
13,HALII TOKYO,美容鍼灸・整体,東京都赤坂,@halii.tokyo_akasaka,https://www.instagram.com/halii.tokyo_akasaka/,個人サロン
14,ラフヨガサロン,ヨガ,東京都表参道,@laughyogasalon,https://www.instagram.com/laughyogasalon/,完全個室プライベートヨガ
15,森の整体院（世田谷）,整体,東京都世田谷区,@morinoseitai_setagaya,https://www.instagram.com/morinoseitai_setagaya/,個人院
16,Bloom nail,ネイルサロン,大阪市北区,@bloom.nail.osaka,https://www.instagram.com/bloom.nail.osaka/,個人オーナー
17,KiKi nail,ネイルサロン,大阪市中央区,@kikinail_osaka,https://www.instagram.com/kikinail_osaka/,プライベートサロン
18,Plie yoga,ヨガ,大阪市,@plie.yoga.osaka,https://www.instagram.com/plie.yoga.osaka/,個人インストラクター
19,整体院まほろば,整体,東京都新宿区,@mahoroba.seitai,https://www.instagram.com/mahoroba.seitai/,個人院
20,Aile nail,ネイルサロン,東京都渋谷区,@ailenail_shibuya,https://www.instagram.com/ailenail_shibuya/,個人オーナー
21,ネイルサロンHana,ネイルサロン,東京都世田谷区,@hanasalon_setagaya,https://www.instagram.com/hanasalon_setagaya/,自宅サロン
22,整体yuzu,整体,東京都目黒区,@seitai.yuzu,https://www.instagram.com/seitai.yuzu/,個人院
23,リメイク美容室,美容室,福岡市早良区,@remake_hair_fukuoka,https://www.instagram.com/remake_hair_fukuoka/,個人オーナー
24,Luce nail,ネイルサロン,大阪市天王寺区,@lucenail_osaka,https://www.instagram.com/lucenail_osaka/,プライベートサロン
25,Cheri hair,美容室,大阪市北区,@cherihair_osaka,https://www.instagram.com/cherihair_osaka/,個人スタイリスト
26,整体院ここか,整体,東京都杉並区,@kokoca.seitai,https://www.instagram.com/kokoca.seitai/,個人院
27,nailroom Mia,ネイルサロン,福岡市中央区,@nailroom_mia,https://www.instagram.com/nailroom_mia/,個人オーナー
28,Atelier Yuki,エステ,大阪市北区,@atelier.yuki.osaka,https://www.instagram.com/atelier.yuki.osaka/,個人オーナー
29,整骨院むすび,整骨院,東京都品川区,@musubi.seikotsu,https://www.instagram.com/musubi.seikotsu/,個人院
30,Bloom hair,美容室,福岡市博多区,@bloomhair_hakata,https://www.instagram.com/bloomhair_hakata/,個人スタイリスト
31,ネイルサロンKira,ネイルサロン,大阪市西区,@kira.nail.osaka,https://www.instagram.com/kira.nail.osaka/,プライベートサロン
32,カイロプラクティックはら,カイロ,東京都渋谷区,@chiro.hara.shibuya,https://www.instagram.com/chiro.hara.shibuya/,個人院
33,esthe salon Lux,エステ,福岡市天神,@lux.esthe.fukuoka,https://www.instagram.com/lux.esthe.fukuoka/,個人オーナー
34,hair atelier Noa,美容室,大阪市中央区,@noahair_osaka,https://www.instagram.com/noahair_osaka/,個人スタイリスト
35,整体院てのひら,整体,東京都世田谷区,@tenohira.seitai,https://www.instagram.com/tenohira.seitai/,個人院
36,nail salon Ange,ネイルサロン,大阪市北区,@ange.nail.osaka,https://www.instagram.com/ange.nail.osaka/,プライベートサロン
37,美容室Sora,美容室,福岡市早良区,@sorahair_fukuoka,https://www.instagram.com/sorahair_fukuoka/,個人スタイリスト
38,整骨院あおぞら,整骨院,東京都中野区,@aozora.seikotsu,https://www.instagram.com/aozora.seikotsu/,個人院
39,Emi nail,ネイルサロン,大阪市天王寺区,@emi.nail.osaka,https://www.instagram.com/emi.nail.osaka/,個人オーナー
40,美容室Yuzu,美容室,東京都目黒区,@yuzuhair_meguro,https://www.instagram.com/yuzuhair_meguro/,個人スタイリスト
41,整体院そら,整体,福岡市博多区,@sora.seitai.hakata,https://www.instagram.com/sora.seitai.hakata/,個人院
42,nail room Lili,ネイルサロン,東京都新宿区,@lilinail_shinjuku,https://www.instagram.com/lilinail_shinjuku/,プライベートサロン
43,エステサロンMio,エステ,大阪市北区,@mio.esthe.osaka,https://www.instagram.com/mio.esthe.osaka/,個人オーナー
44,美容室Hana,美容室,福岡市中央区,@hanahair_chuo,https://www.instagram.com/hanahair_chuo/,個人スタイリスト
45,整体院つぐみ,整体,東京都杉並区,@tsugumi.seitai,https://www.instagram.com/tsugumi.seitai/,個人院
46,nail atelier Rin,ネイルサロン,大阪市西区,@rinatelier.nail,https://www.instagram.com/rinatelier.nail/,個人オーナー
47,美容室Tsubaki,美容室,東京都品川区,@tsubakihair_shinagawa,https://www.instagram.com/tsubakihair_shinagawa/,個人スタイリスト
48,整骨院なぎさ,整骨院,福岡市早良区,@nagisa.seikotsu,https://www.instagram.com/nagisa.seikotsu/,個人院
49,esthe Luce,エステ,大阪市北区,@luce.esthe.osaka,https://www.instagram.com/luce.esthe.osaka/,個人オーナー
50,美容室Ao,美容室,東京都世田谷区,@aohair_setagaya,https://www.instagram.com/aohair_setagaya/,個人スタイリスト
