店舗名,業種,地域（市区）,公式LINEリンク,InstagramリンクorURL,ランク,備考
てんびんカイロプラクティック整体院,カイロプラクティック,福岡市博多区,https://lin.ee/YiAQ4J0,,A,院長・野間氏が個人運営。LINE友だち459人。完全個室の小規模院。骨盤・腰痛専門。
六花鍼灸整骨院 博多駅前店,鍼灸院・整骨院,福岡市博多区,https://page.line.me/784sdicf,,A,LINE友だち7219人と非常に活発。博多駅徒歩3分。美容鍼・骨盤矯正。※複数店舗展開のため参考扱い
筑紫通りはりきゅう整骨院,鍼灸院・整骨院,福岡市博多区,https://lin.ee/97KyY9Q,,A,LINE友だち282人。2名体制の小規模院。竹下駅近く。
KARADA整骨院,整骨院,福岡市博多区,https://page.line.me/jxh9455o,,A,LINE友だち979人。板付エリア個人院。坐骨神経痛・ヘルニア専門。
ゼロスポ鍼灸・整骨院 吉塚,鍼灸院・整骨院,福岡市博多区,https://page.line.me/172eynpj,,A,LINE友だち1762人。吉塚駅前。骨格矯正・産後骨盤矯正。
のりさだ鍼灸整骨院 吉塚院,鍼灸院・整骨院,福岡市博多区,,,B,吉塚院。千代1丁目。Instagram運用中。HP更新2021年。グループ院だが規模は小さい。
介正整骨院 博多駅前,整骨院,福岡市博多区,https://page.line.me/sab7965q,,A,博多駅前エリア。LINE公式確認済み。
こうたき整骨院,整骨院,福岡市博多区,,,B,博多区・個人院。HP掲載あり。Instagram確認要。
東比恵はりきゅう整骨院,鍼灸院・整骨院,福岡市博多区,,,B,博多区東比恵。スポーツ・往診対応。Instagram運用中。
板付くろ川整骨院,整骨院,福岡市博多区,,,A,板付エリア。LINE予約確認済み。2院展開の小グループ。
中央整骨鍼灸院,鍼灸院・整骨院,福岡市中央区,,,B,高砂1丁目。Instagram・Facebook活発（HP記載）。創業28年超の老舗。藍綬褒章受賞の院長。
池田鍼灸療院,鍼灸院,福岡市中央区,,,B,中央区平尾。先代から50年続く老舗鍼灸院。地域密着型。HP掲載。
六花鍼灸整骨院 天神店,鍼灸院・整骨院,福岡市中央区,,,B,天神2丁目。エキテン口コミ4.96。Instagram運用。※多店舗展開参考扱い
天神ART整骨院・鍼灸院,鍼灸院・整骨院,福岡市中央区,,,B,天神3丁目。SNS話題の美容鍼。Instagram運用。開業20年のグループ院。
箱嶌医針堂,鍼灸院,福岡市中央区,,,B,天神。中国医学博士院長。LINE予約可。Instagram運用中。
NAOSEL長浜整骨院,整骨院,福岡市中央区,,,B,赤坂駅近く。エキテン高評価。Instagram運用。
NAOSEL西新整骨院,整骨院,福岡市早良区,,,B,西新駅徒歩4分。エキテン口コミ4.73（177件）。Instagram確認済み。
えがお鍼灸整骨院 福岡西新院,鍼灸院・整骨院,福岡市早良区,,,B,西新。キッズスペース。Instagram運用中。
介正鍼灸整骨院 健楽,鍼灸院・整骨院,福岡市早良区,,,B,早良区重留。エキテン口コミ4.17。手技メイン個人院。Instagram有。
からだコンディショニングふくおか整骨院,整骨院,福岡市早良区,,,A,早良区原。公式LINE記載。Instagram運用（骨盤矯正ビフォーアフター公開中）。
西新しばた整骨院,整骨院,福岡市早良区,,,A,西新駅徒歩3分。LINE予約対応確認。キッズスペース・産後対応。
たか整骨院,整骨院,福岡市早良区,https://lin.ee/YJDkOeS,,A,次郎丸駅近く。LINE公式確認済み。友だち263人。SNS運用中。
百道整骨院,整骨院,福岡市早良区,,,B,百道エリア。LINE相談可能。Instagram確認要。
ひまわり整骨院,整骨院,福岡市早良区,,,B,干隈エリア。SNS・ブログ運用中。
くまのみどう鍼灸整骨院,鍼灸院・整骨院,福岡市早良区,,,A,高取エリア。LINE予約確認。
アーク鍼灸整骨院 姪浜院,鍼灸院・整骨院,福岡市西区,,,A,西区姪浜。代表・坂元大海（個人名記載）。LINE予約対応確認。グループ院だが地域密着。
はるか鍼灸整骨院,鍼灸院・整骨院,福岡市西区,,,A,西区野方。院長・長井氏。LINE予約対応確認（エキテン記載）。
オステオパシー整体院・修,整体院,福岡市西区,,,B,姪浜。個人運営のオステオパシー院。Instagram確認要。
NAOSEL伊都整骨院,整骨院,福岡市西区,,,B,九大学研都市駅近く。エキテン口コミ4.57（41件）。Instagram運用。
